id,distritos_id,entidades_id,seccion,tipossecciones_id,distritosfederales_id,municipios_id
,4,32,548,2,4,57
,5,32,103,1,2,8
,5,32,104,3,2,8
,5,32,105,1,2,8
,5,32,106,1,2,8
,5,32,107,3,2,8
,5,32,108,3,2,8
,5,32,109,2,2,8
,5,32,110,3,2,8
,5,32,111,3,2,8
,5,32,112,2,2,8
,5,32,113,2,2,8
,5,32,359,1,2,12
,5,32,360,1,2,12
,5,32,361,1,2,12
,5,32,362,2,2,12
,5,32,363,2,2,12
,5,32,364,2,2,12
,5,32,365,2,2,12
,5,32,366,2,2,12
,5,32,369,2,2,12
,5,32,370,2,2,12
,5,32,371,2,2,12
,5,32,372,2,2,12
,5,32,373,2,2,12
,5,32,374,2,2,12
,5,32,375,2,2,12
,5,32,377,2,2,12
,5,32,491,3,4,17
,5,32,506,1,4,17
,5,32,507,1,4,17
,5,32,536,1,4,17
,5,32,537,1,4,17
,5,32,538,2,4,17
,5,32,539,3,4,17
,5,32,540,2,4,17
,5,32,541,2,4,17
,5,32,542,3,4,17
,5,32,543,3,4,17
,5,32,545,2,4,17
,5,32,551,1,4,17
,5,32,1909,1,4,17
,5,32,1711,1,2,55
,5,32,1712,1,2,55
,5,32,1713,1,2,55
,5,32,1714,1,2,55
,5,32,1715,1,2,55
,5,32,1716,1,2,55
,5,32,1717,1,2,55
,5,32,1718,1,2,55
,5,32,1719,1,2,55
,5,32,1720,1,2,55
,5,32,1721,3,2,55
,5,32,1722,3,2,55
,5,32,1727,3,2,55
,5,32,1728,3,2,55
,5,32,1730,3,2,55
,5,32,1739,2,2,55
,5,32,1740,2,2,55
,5,32,1742,2,2,55
,5,32,1743,2,2,55
,5,32,1744,2,2,55
,5,32,1745,2,2,55
,5,32,1746,3,2,55
,5,32,1748,2,2,55
,5,32,1749,2,2,55
,5,32,1750,2,2,55
,5,32,1751,2,2,55
,5,32,1752,2,2,55
,5,32,1753,2,2,55
,5,32,1755,2,2,55
,5,32,1757,2,2,55
,5,32,1758,2,2,55
,5,32,1760,2,2,55
,5,32,1761,2,2,55
,5,32,1763,2,2,55
,5,32,1764,2,2,55
,5,32,1769,2,2,55
,5,32,1770,2,2,55
,6,32,140,3,1,10
,6,32,141,1,1,10
,6,32,142,1,1,10
,6,32,152,1,1,10
,6,32,153,1,1,10
,6,32,154,1,1,10
,6,32,155,1,1,10
,6,32,156,1,1,10
,6,32,157,1,1,10
,6,32,158,1,1,10
,6,32,165,1,1,10
,6,32,166,1,1,10
,6,32,167,1,1,10
,6,32,168,1,1,10
,6,32,169,1,1,10
,6,32,170,1,1,10
,6,32,171,1,1,10
,6,32,172,1,1,10
,6,32,173,1,1,10
,6,32,174,1,1,10
,6,32,175,1,1,10
,6,32,176,1,1,10
,6,32,177,1,1,10
,6,32,178,1,1,10
,6,32,179,1,1,10
,6,32,182,1,1,10
,6,32,183,1,1,10
,6,32,184,1,1,10
,6,32,185,1,1,10
,6,32,186,1,1,10
,6,32,187,1,1,10
,6,32,188,1,1,10
,6,32,189,1,1,10
,6,32,190,1,1,10
,6,32,191,1,1,10
,6,32,192,1,1,10
,6,32,193,1,1,10
,6,32,195,1,1,10
,6,32,196,1,1,10
,6,32,197,1,1,10
,6,32,198,1,1,10
,6,32,199,1,1,10
,6,32,200,1,1,10
,6,32,201,1,1,10
,6,32,202,1,1,10
,6,32,203,1,1,10
,6,32,204,1,1,10
,6,32,205,1,1,10
,6,32,206,1,1,10
,6,32,207,1,1,10
,6,32,216,1,1,10
,6,32,217,1,1,10
,6,32,273,2,1,10
,6,32,274,2,1,10
,6,32,275,2,1,10
,6,32,276,3,1,10
,6,32,277,3,1,10
,6,32,278,1,1,10
,6,32,298,2,1,10
,6,32,299,2,1,10
,6,32,300,1,1,10
,6,32,302,2,1,10
,6,32,303,2,1,10
,6,32,304,2,1,10
,6,32,305,2,1,10
,6,32,306,2,1,10
,6,32,307,2,1,10
,6,32,317,2,1,10
,6,32,318,3,1,10
,6,32,338,2,1,10
,6,32,340,2,1,10
,6,32,344,2,1,10
,6,32,1937,1,1,10
,6,32,1938,1,1,10
,6,32,1939,1,1,10
,6,32,1940,3,1,10
,6,32,1941,3,1,10
,7,32,135,1,1,10
,7,32,136,1,1,10
,7,32,137,3,1,10
,7,32,138,1,1,10
,7,32,139,1,1,10
,7,32,143,1,1,10
,7,32,144,1,1,10
,7,32,145,1,1,10
,7,32,146,1,1,10
,7,32,147,1,1,10
,7,32,218,2,1,10
,7,32,219,2,1,10
,7,32,220,2,1,10
,7,32,221,2,1,10
,7,32,222,2,1,10
,7,32,223,2,1,10
,7,32,224,2,1,10
,7,32,225,2,1,10
,7,32,226,2,1,10
,7,32,227,2,1,10
,7,32,228,3,1,10
,7,32,229,1,1,10
,7,32,230,2,1,10
,7,32,231,1,1,10
,7,32,232,3,1,10
,7,32,233,2,1,10
,7,32,234,2,1,10
,7,32,235,2,1,10
,7,32,236,2,1,10
,7,32,237,2,1,10
,7,32,238,2,1,10
,7,32,239,1,1,10
,7,32,240,1,1,10
,7,32,241,2,1,10
,7,32,242,2,1,10
,7,32,243,1,1,10
,7,32,244,3,1,10
,7,32,245,1,1,10
,7,32,246,3,1,10
,7,32,247,2,1,10
,7,32,248,2,1,10
,7,32,249,3,1,10
,7,32,250,3,1,10
,7,32,251,2,1,10
,7,32,252,2,1,10
,7,32,253,2,1,10
,7,32,261,2,1,10
,7,32,262,2,1,10
,7,32,265,3,1,10
,7,32,266,1,1,10
,7,32,267,3,1,10
,7,32,268,2,1,10
,7,32,269,2,1,10
,7,32,270,3,1,10
,7,32,271,1,1,10
,7,32,272,1,1,10
,7,32,330,2,1,10
,7,32,332,2,1,10
,7,32,333,2,1,10
,7,32,334,2,1,10
,7,32,335,2,1,10
,7,32,336,2,1,10
,7,32,339,2,1,10
,7,32,341,2,1,10
,7,32,1256,3,1,40
,7,32,1257,1,1,40
,7,32,1258,3,1,40
,7,32,1259,1,1,40
,7,32,1260,3,1,40
,7,32,1261,3,1,40
,7,32,1262,3,1,40
,7,32,1263,3,1,40
,7,32,1264,3,1,40
,7,32,1265,2,1,40
,7,32,1266,2,1,40
,7,32,1267,2,1,40
,7,32,1268,2,1,40
,7,32,1269,2,1,40
,7,32,1270,2,1,40
,7,32,1271,2,1,40
,7,32,1272,2,1,40
,7,32,1273,1,1,40
,7,32,1274,3,1,40
,7,32,1275,2,1,40
,7,32,1276,2,1,40
,7,32,1277,3,1,40
,7,32,1278,1,1,40
,7,32,1279,2,1,40
,7,32,1280,2,1,40
,7,32,1281,2,1,40
,7,32,1282,2,1,40
,8,32,148,3,1,10
,8,32,149,1,1,10
,8,32,150,1,1,10
,8,32,151,1,1,10
,8,32,159,1,1,10
,8,32,160,1,1,10
,8,32,161,1,1,10
,8,32,162,1,1,10
,8,32,163,1,1,10
,8,32,164,1,1,10
,8,32,180,1,1,10
,8,32,181,1,1,10
,8,32,208,1,1,10
,8,32,209,1,1,10
,8,32,211,1,1,10
,8,32,212,3,1,10
,8,32,213,1,1,10
,8,32,214,1,1,10
,8,32,215,1,1,10
,8,32,254,2,1,10
,8,32,255,2,1,10
,8,32,256,2,1,10
,8,32,257,2,1,10
,8,32,258,2,1,10
,8,32,259,2,1,10
,8,32,260,2,1,10
,8,32,263,3,1,10
,8,32,264,3,1,10
,8,32,279,2,1,10
,8,32,280,2,1,10
,8,32,281,2,1,10
,8,32,282,2,1,10
,8,32,283,2,1,10
,8,32,284,2,1,10
,8,32,285,2,1,10
,8,32,286,2,1,10
,8,32,288,2,1,10
,8,32,289,2,1,10
,8,32,290,2,1,10
,8,32,291,2,1,10
,8,32,292,3,1,10
,8,32,293,2,1,10
,8,32,294,2,1,10
,8,32,295,2,1,10
,8,32,296,2,1,10
,8,32,297,2,1,10
,8,32,308,2,1,10
,8,32,309,2,1,10
,8,32,310,2,1,10
,8,32,311,2,1,10
,8,32,312,2,1,10
,8,32,313,2,1,10
,8,32,314,2,1,10
,8,32,315,2,1,10
,8,32,316,2,1,10
,8,32,320,2,1,10
,8,32,321,2,1,10
,8,32,322,2,1,10
,8,32,324,2,1,10
,8,32,325,2,1,10
,8,32,326,2,1,10
,8,32,327,2,1,10
,8,32,343,2,1,10
,8,32,345,2,1,10
,8,32,346,2,1,10
,8,32,347,2,1,10
,8,32,1912,1,1,10
,8,32,1913,1,1,10
,8,32,1525,1,1,49
,8,32,1526,1,1,49
,8,32,1527,1,1,49
,8,32,1528,3,1,49
,8,32,1529,1,1,49
,8,32,1530,1,1,49
,8,32,1531,3,1,49
,8,32,1532,1,1,49
,8,32,1533,1,1,49
,8,32,1534,1,1,49
,8,32,1535,1,1,49
,8,32,1536,1,1,49
,8,32,1537,1,1,49
,8,32,1538,3,1,49
,8,32,1539,3,1,49
,8,32,1540,1,1,49
,8,32,1541,3,1,49
,8,32,1542,3,1,49
,8,32,1543,1,1,49
,8,32,1544,2,1,49
,8,32,1545,2,1,49
,8,32,1546,2,1,49
,8,32,1547,2,1,49
,8,32,1549,2,1,49
,8,32,1550,2,1,49
,8,32,1551,2,1,49
,8,32,1552,2,1,49
