id,municipios_id,mun_desc,partidos_id,part_desc,novotos,,
,16,GENERAL PÁNFILO NATERA,8,PANAL,73,,
,16,GUADALUPE,8,PANAL,3587,,
,18,HUANUSCO,8,PANAL,109,,
,19,JALPA,8,PANAL,183,,
,20,MORELOS,8,PANAL,265,,
,20,JEREZ,8,PANAL,404,,
,21,JIMÉNEZ DEL TEÚL,8,PANAL,49,,
,22,JUAN ALDAMA,8,PANAL,89,,
,23,JUCHIPILA,8,PANAL,109,,
,24,LORETO,8,PANAL,213,,
,25,LUIS MOYA,8,PANAL,268,,
,26,MAZAPIL,8,PANAL,5126,,
,27,MELCHOR  OCAMPO,8,PANAL,844,,
,28,MEZQUITAL DEL ORO,8,PANAL,14,,
,29,MIGUEL AUZA,8,PANAL,145,,
,30,MOMAX,8,PANAL,133,,
,31,MONTE ESCOBEDO,8,PANAL,280,,
,33,MOYAHUA DE ESTRADA,8,PANAL,13,,
,34,NOCHISTLÁN  DE MEJÍA,8,PANAL,206,,
,35,NORIA DE ÁNGELES,8,PANAL,1723,,
,36,OJOCALIENTE,8,PANAL,474,,
,37,PÁNUCO,8,PANAL,1556,,
,38,PINOS,8,PANAL,557,,
,39,RÍO GRANDE,8,PANAL,346,,
,40,SAÍN ALTO,8,PANAL,653,,
,41,EL SALVADOR,8,PANAL,14,,
,42,SOMBRERETE,8,PANAL,417,,
,43,SUSTICACÁN,8,PANAL,32,,
,44,TABASCO,8,PANAL,520,,
,45,TEPECHITLÁN,8,PANAL,74,,
,46,TEPETONGO,8,PANAL,52,,
,47,TEÚL DE GONZÁLEZ,8,PANAL,62,,
,48,TLALTENANGO,8,PANAL,108,,
,49,VALPARAISO,8,PANAL,280,,
,50,VETAGRANDE,8,PANAL,1501,,
,51,VILLA DE COS,8,PANAL,901,,
,52,VILLA GARCÍA,8,PANAL,178,,
,53,VILLA GONZÁLEZ ORTEGA,8,PANAL,517,,
,54,VILLA HIDALGO,8,PANAL,59,,
,55,VILLANUEVA,8,PANAL,427,,
,56,ZACATECAS,8,PANAL,847,,
,57,TRANCOSO,8,PANAL,359,,
,58,SANTA MARÍA DE LA PAZ,8,PANAL,4,,
